MM/DD/YYYY,ID,YEAR,MONTH,DAY,PRCP,PRCP_FLAGS,SNOW,SNOW_FLAGS,SNWD,SNWD_FLAGS,WESD,WESD_FLAGS,WESF,WESF_FLAGS
2008-12-10,US1CALA0006,2008,12,10,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2008-12-11,US1CALA0006,2008,12,11,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2008-12-12,US1CALA0006,2008,12,12,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2008-12-13,US1CALA0006,2008,12,13,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2008-12-14,US1CALA0006,2008,12,14,0.0,__N,0.0,__N,nan,nan,nan,nan,nan,nan
2008-12-15,US1CALA0006,2008,12,15,640.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-16,US1CALA0006,2008,12,16,33.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-17,US1CALA0006,2008,12,17,0.0,T_N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-18,US1CALA0006,2008,12,18,53.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-19,US1CALA0006,2008,12,19,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-20,US1CALA0006,2008,12,20,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-21,US1CALA0006,2008,12,21,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-22,US1CALA0006,2008,12,22,41.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-23,US1CALA0006,2008,12,23,0.0,T_N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-29,US1CALA0006,2008,12,29,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-30,US1CALA0006,2008,12,30,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2008-12-31,US1CALA0006,2008,12,31,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2009-01-01,US1CALA0006,2009,01,1,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2009-01-02,US1CALA0006,2009,01,2,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
2009-01-03,US1CALA0006,2009,01,3,0.0,__N,0.0,__N,0.0,__N,nan,nan,nan,nan
