MM/DD/YYYY,ID,YEAR,MONTH,DAY,PRCP,PRCP_FLAGS,SNOW,SNOW_FLAGS
2011-01-24,US1CALA0030,2011,01,24,0.0,__N,0.0,__N
2011-01-25,US1CALA0030,2011,01,25,0.0,__N,0.0,__N
2011-01-26,US1CALA0030,2011,01,26,0.0,__N,0.0,__N
2011-01-27,US1CALA0030,2011,01,27,0.0,__N,0.0,__N
2011-01-28,US1CALA0030,2011,01,28,0.0,__N,0.0,__N
2011-01-29,US1CALA0030,2011,01,29,0.0,__N,0.0,__N
2011-01-30,US1CALA0030,2011,01,30,0.0,__N,0.0,__N
2011-01-31,US1CALA0030,2011,01,31,74.0,__N,nan,nan
2011-02-01,US1CALA0030,2011,02,1,0.0,__N,0.0,__N
2011-02-02,US1CALA0030,2011,02,2,0.0,__N,0.0,__N
2011-02-03,US1CALA0030,2011,02,3,0.0,__N,0.0,__N
2011-02-04,US1CALA0030,2011,02,4,0.0,__N,0.0,__N
2011-02-06,US1CALA0030,2011,02,6,0.0,__N,0.0,__N
2011-02-07,US1CALA0030,2011,02,7,0.0,__N,0.0,__N
2011-02-08,US1CALA0030,2011,02,8,0.0,__N,0.0,__N
2011-02-09,US1CALA0030,2011,02,9,0.0,__N,0.0,__N
2011-02-11,US1CALA0030,2011,02,11,0.0,__N,0.0,__N
2011-02-12,US1CALA0030,2011,02,12,0.0,__N,0.0,__N
2011-02-13,US1CALA0030,2011,02,13,0.0,__N,0.0,__N
2011-02-14,US1CALA0030,2011,02,14,0.0,__N,0.0,__N
2011-02-15,US1CALA0030,2011,02,15,8.0,__N,nan,nan
2011-02-16,US1CALA0030,2011,02,16,114.0,__N,nan,nan
2011-02-17,US1CALA0030,2011,02,17,5.0,__N,nan,nan
2011-02-18,US1CALA0030,2011,02,18,0.0,__N,0.0,__N
2011-02-19,US1CALA0030,2011,02,19,307.0,__N,nan,nan
2011-02-20,US1CALA0030,2011,02,20,89.0,__N,nan,nan
2011-02-21,US1CALA0030,2011,02,21,0.0,__N,0.0,__N
2011-02-22,US1CALA0030,2011,02,22,0.0,__N,0.0,__N
2011-02-23,US1CALA0030,2011,02,23,0.0,__N,0.0,__N
2011-02-24,US1CALA0030,2011,02,24,0.0,__N,0.0,__N
2011-02-25,US1CALA0030,2011,02,25,0.0,__N,0.0,__N
2011-02-26,US1CALA0030,2011,02,26,279.0,__N,nan,nan
2011-02-27,US1CALA0030,2011,02,27,0.0,T_N,nan,nan
2011-02-28,US1CALA0030,2011,02,28,0.0,__N,0.0,__N
2011-03-01,US1CALA0030,2011,03,1,0.0,__N,0.0,__N
2011-03-02,US1CALA0030,2011,03,2,0.0,__N,0.0,__N
2011-03-03,US1CALA0030,2011,03,3,61.0,__N,nan,nan
2011-03-04,US1CALA0030,2011,03,4,0.0,__N,0.0,__N
2011-03-05,US1CALA0030,2011,03,5,0.0,__N,0.0,__N
2011-03-06,US1CALA0030,2011,03,6,0.0,__N,0.0,__N
2011-03-07,US1CALA0030,2011,03,7,3.0,__N,nan,nan
2011-03-08,US1CALA0030,2011,03,8,0.0,__N,0.0,__N
2011-03-09,US1CALA0030,2011,03,9,0.0,__N,0.0,__N
2011-03-10,US1CALA0030,2011,03,10,0.0,__N,0.0,__N
2011-03-11,US1CALA0030,2011,03,11,0.0,__N,0.0,__N
2011-03-12,US1CALA0030,2011,03,12,0.0,__N,0.0,__N
2011-03-13,US1CALA0030,2011,03,13,0.0,__N,0.0,__N
2011-03-14,US1CALA0030,2011,03,14,0.0,__N,0.0,__N
2011-03-15,US1CALA0030,2011,03,15,0.0,__N,0.0,__N
2011-03-16,US1CALA0030,2011,03,16,0.0,__N,0.0,__N
2011-03-17,US1CALA0030,2011,03,17,0.0,__N,0.0,__N
2011-03-18,US1CALA0030,2011,03,18,0.0,__N,0.0,__N
2011-03-19,US1CALA0030,2011,03,19,81.0,__N,nan,nan
2011-03-20,US1CALA0030,2011,03,20,84.0,__N,nan,nan
2011-03-21,US1CALA0030,2011,03,21,1146.0,__N,nan,nan
2011-03-22,US1CALA0030,2011,03,22,33.0,__N,nan,nan
