YEARMODA,TEMP,DEWP,VISIB,WDSP,PRCP,FRSHTT,month,FOG_VISIB
1973-01-01,58.6,12.9,10.0,8.7,0.0,clear,1,0
1973-01-02,54.7,27.3,10.0,5.6,0.0,clear,1,0
1973-01-03,53.3,42.4,10.0,7.1,0.0,rain,1,0
1973-01-04,51.5,36.5,10.0,6.2,3.15,rain,1,0
1973-01-05,46.4,29.0,10.0,4.5,0.0,clear,1,0
1973-01-06,48.7,23.2,10.0,5.2,4.33,clear,1,0
1973-01-07,48.5,31.8,10.0,4.8,0.0,clear,1,0
1973-01-08,50.4,40.1,8.2,4.7,0.0,rain,1,0
1973-01-09,54.0,47.5,6.9,6.7,0.24,fog+rain,1,0
1973-01-10,54.0,49.7,10.0,4.5,0.04,rain,1,0
1973-01-11,54.6,47.9,9.8,4.9,0.0,clear,1,0
1973-01-12,57.0,50.8,5.3,4.9,0.0,clear,1,0
1973-01-13,60.3,51.4,8.5,4.6,0.0,fog,1,0
1973-01-14,64.1,46.5,10.0,5.3,0.0,clear,1,0
1973-01-15,58.9,53.1,3.6,4.7,3.15,fog,1,0
1973-01-16,56.7,51.4,8.4,5.8,0.0,fog+rain,1,0
1973-01-17,56.7,51.0,10.0,9.0,1.65,fog+rain,1,0
1973-01-18,54.5,47.8,10.0,7.9,0.87,rain,1,0
1973-01-19,54.4,43.2,10.0,9.6,0.51,fog+rain,1,0
1973-01-20,51.6,27.2,10.0,11.7,0.0,clear,1,0
1973-01-21,50.2,37.9,10.0,5.8,0.0,clear,1,0
1973-01-22,52.2,36.4,10.0,5.8,0.0,clear,1,0
1973-01-23,53.2,26.7,10.0,5.3,0.0,clear,1,0
1973-01-24,53.7,34.0,10.0,4.5,5.91,clear,1,0
1973-01-25,52.6,43.5,10.0,5.4,0.0,clear,1,0
1973-01-26,53.5,39.0,10.0,11.2,0.0,rain,1,0
1973-01-27,53.0,35.2,10.0,6.0,0.0,clear,1,0
1973-01-28,58.9,27.3,10.0,7.2,0.0,clear,1,0
1973-01-29,58.6,31.4,10.0,5.0,3.54,clear,1,0
1973-01-30,54.5,48.6,10.0,6.6,0.0,fog+rain,1,0
1973-01-31,54.3,45.9,10.0,7.2,0.08,clear,1,0
1973-02-01,56.7,46.7,10.0,6.8,0.0,clear,2,0
1973-02-02,58.7,33.6,10.0,5.8,0.0,clear,2,0
1973-02-03,59.1,41.0,10.0,7.7,0.0,fog+rain,2,0
1973-02-04,56.0,53.7,7.8,5.4,0.59,fog+rain,2,0
1973-02-05,56.0,50.9,8.8,4.2,0.04,clear,2,0
1973-02-06,57.6,53.8,7.1,8.7,0.71,fog+rain,2,0
1973-02-07,58.4,55.8,9.0,7.2,1.73,fog+rain,2,0
1973-02-08,56.9,53.1,10.0,5.0,1.22,clear,2,0
1973-02-09,57.0,53.2,10.0,6.6,0.0,clear,2,0
1973-02-10,55.8,52.4,10.0,6.3,0.08,fog+rain,2,0
1973-02-11,57.5,54.6,10.0,13.2,0.79,fog+rain,2,0
1973-02-12,56.6,50.5,10.0,11.8,0.28,fog+rain,2,0
1973-02-13,54.8,48.4,10.0,6.8,0.16,rain,2,0
1973-02-14,55.1,49.5,10.0,6.8,0.24,rain,2,0
1973-02-15,55.8,44.9,10.0,8.3,0.0,clear,2,0
1973-02-16,58.3,43.2,10.0,6.2,4.72,clear,2,0
1973-02-17,60.4,39.4,10.0,5.4,0.0,clear,2,0
1973-02-18,57.3,45.8,10.0,6.2,0.0,clear,2,0
1973-02-19,58.8,47.1,10.0,5.9,0.0,clear,2,0
1973-02-20,61.8,38.9,10.0,6.2,0.0,clear,2,0
1973-02-21,64.7,39.8,10.0,6.2,0.0,rain,2,0
1973-02-22,60.0,45.1,10.0,5.7,0.0,clear,2,0
1973-02-23,59.7,53.9,9.8,6.2,0.0,fog,2,0
1973-02-24,56.9,52.7,8.7,5.8,0.0,fog+rain,2,0
1973-02-25,59.9,52.2,8.5,4.7,0.0,rain,2,0
1973-02-26,57.5,54.3,4.1,6.0,5.51,fog,2,0
1973-02-27,58.6,55.5,8.3,5.7,0.0,rain,2,0
1973-02-28,59.6,55.8,10.0,8.5,0.31,fog+rain,2,0
1973-03-01,57.9,53.0,10.0,6.3,0.0,clear,3,0
1973-03-02,58.4,53.4,10.0,7.3,0.0,clear,3,0
1973-03-03,57.8,52.6,8.4,6.1,0.28,fog,3,0
1973-03-04,57.4,48.3,10.0,15.6,0.0,rain,3,0
1973-03-05,55.3,44.7,10.0,7.4,0.0,clear,3,0
1973-03-06,54.9,48.3,10.0,6.3,0.08,fog+rain,3,0
1973-03-07,55.6,46.6,10.0,9.0,0.08,rain,3,0
1973-03-08,55.1,48.1,10.0,7.4,0.39,rain,3,0
1973-03-09,53.2,46.2,10.0,6.2,0.31,rain,3,0
1973-03-10,56.4,49.2,10.0,5.8,0.0,clear,3,0
1973-03-11,56.6,50.1,10.0,6.6,0.2,rain,3,0
1973-03-12,52.0,43.4,10.0,7.6,0.31,rain,3,0
1973-03-13,53.3,45.4,10.0,8.3,0.2,clear,3,0
1973-03-14,57.4,31.1,10.0,11.9,0.0,clear,3,0
1973-03-15,59.3,32.5,10.0,7.3,0.0,clear,3,0
