,date,fog,rain,meanwdird,meanwindspdm,meantempm,meandewptm,meanpressurem,maxhumidity,minhumidity,maxtempm,mintempm,maxdewptm,mindewptm,maxpressurem,minpressurem,precipm,year,month,day,dayofweek
0,1997-01-01,0,1,236,3.0,18.0,14.0,1020.0,100.0,64.0,20.0,15.0,16.0,13.0,1022.0,1019.0,0.0,1997,1,1,2
1,1997-01-02,1,0,207,5.0,16.0,16.0,1017.0,100.0,94.0,17.0,15.0,16.0,15.0,1020.0,1016.0,0.0,1997,1,2,3
2,1997-01-03,1,0,251,14.0,17.0,11.0,1015.0,100.0,42.0,19.0,15.0,15.0,4.0,1017.0,1015.0,0.0,1997,1,3,4
3,1997-01-04,0,0,91,13.0,14.0,11.0,1019.0,94.0,63.0,17.0,13.0,12.0,10.0,1021.0,1018.0,0.0,1997,1,4,5
4,1997-01-05,0,0,281,13.0,13.0,7.0,1017.0,88.0,36.0,16.0,12.0,10.0,-2.0,1018.0,1016.0,0.0,1997,1,5,6
5,1997-01-06,0,0,354,32.0,14.0,-12.0,1020.0,72.0,7.0,18.0,12.0,8.0,-19.0,1021.0,1019.0,0.0,1997,1,6,0
6,1997-01-07,0,0,119,5.0,13.0,-3.0,1021.0,63.0,15.0,19.0,8.0,7.0,-12.0,1023.0,1020.0,0.0,1997,1,7,1
7,1997-01-08,0,0,231,10.0,13.0,8.0,1023.0,94.0,45.0,18.0,8.0,11.0,4.0,1024.0,1022.0,0.0,1997,1,8,2
8,1997-01-09,0,0,165,8.0,13.0,7.0,1024.0,88.0,45.0,18.0,8.0,11.0,5.0,1026.0,1023.0,0.0,1997,1,9,3
9,1997-01-10,1,0,205,6.0,11.0,9.0,1017.0,100.0,72.0,15.0,7.0,10.0,7.0,1021.0,1015.0,0.0,1997,1,10,4
10,1997-01-11,0,0,346,11.0,12.0,7.0,1013.0,87.0,55.0,15.0,9.0,9.0,6.0,1015.0,1012.0,0.0,1997,1,11,5
11,1997-01-12,0,1,77,2.0,10.0,9.0,1008.0,100.0,88.0,11.0,10.0,10.0,9.0,1011.0,1006.0,0.0,1997,1,12,6
12,1997-01-13,0,1,233,11.0,11.0,7.0,1009.0,100.0,51.0,14.0,8.0,9.0,4.0,1012.0,1005.0,0.0,1997,1,13,0
13,1997-01-14,0,1,22,10.0,11.0,8.0,1020.0,87.0,55.0,14.0,9.0,9.0,5.0,1022.0,1016.0,0.0,1997,1,14,1
14,1997-01-15,0,1,1,18.0,10.0,7.0,1023.0,94.0,62.0,12.0,9.0,9.0,3.0,1024.0,1022.0,0.0,1997,1,15,2
15,1997-01-16,0,0,334,14.0,13.0,2.0,1024.0,58.0,34.0,18.0,9.0,3.0,0.0,1026.0,1022.0,0.0,1997,1,16,3
